"Country","Day","Confirmed","Deaths","Recovered"
"Trinidad and Tobago",1,2,0,0
"Trinidad and Tobago",2,2,0,0
"Trinidad and Tobago",3,4,0,0
"Trinidad and Tobago",4,5,0,0
"Trinidad and Tobago",5,7,0,0
"Trinidad and Tobago",6,9,0,0
"Trinidad and Tobago",7,9,0,0
"Trinidad and Tobago",8,49,0,1
"Trinidad and Tobago",9,50,0,0
"Trinidad and Tobago",10,51,0,0
"Trinidad and Tobago",11,57,0,0
"Trinidad and Tobago",12,60,1,0
"Trinidad and Tobago",13,65,1,0
"Trinidad and Tobago",14,66,2,1
"Trinidad and Tobago",15,74,3,1
"Trinidad and Tobago",16,78,3,1
"Trinidad and Tobago",17,82,3,1
"Trinidad and Tobago",18,87,3,1
"Trinidad and Tobago",19,90,5,1
"Trinidad and Tobago",20,94,5,1
"Trinidad and Tobago",21,98,6,1
"Trinidad and Tobago",22,103,6,1
"Trinidad and Tobago",23,104,7,1
"Trinidad and Tobago",24,105,8,1
"Trinidad and Tobago",25,107,8,1
"Trinidad and Tobago",26,107,8,1
"Trinidad and Tobago",27,109,8,1
